	Estimate	Std. Error	t value	Pr(>|t|)
Veliparib1 in ALC1KO	-1.76929056140424	0.166084902271131	-10.6529283349061	3.86477555314834e-16
Veliparib2 in ALC1KO	-0.729840088017325	0.16608490227113	-4.39437948926793	3.9910867015487e-05
Veliparib1: ALC1KO vs. WT	1.85314717396569	0.234879521297243	7.88977754948891	3.47449830767705e-11
Veliparib2: ALC1KO vs. WT	0.740721237685531	0.234879521297243	3.1536220509754	0.00240069175523373
Veliparib1: ALC1KO vs. PARP1KO	1.82366157518273	0.234879521297243	7.76424255767647	5.87260872218314e-11
Veliparib2: ALC1KO vs. PARP1KO	0.697472789390736	0.234879521297243	2.96949170169704	0.00411785186446319
Veliparib1: ALC1KO vs. ALC1KO PARP1KO	1.78758602599883	0.234879521297243	7.61065083974101	1.11572265938048e-10
Veliparib2: ALC1KO vs. ALC1KO PARP1KO	0.602034383118396	0.234879521297243	2.56316250898909	0.0125894203251321
