	Estimate	Std. Error	t value	Pr(>|t|)
olaparib1 in WT	2.17830063122172	0.66321200491267	3.28447105161878	0.0019121233484594
olaparib2 in WT	1.23615264702047	0.66321200491267	1.86388762245527	0.0684601676115806
olaparib1: WT vs. PARP1KO	-2.42822665235462	0.93792341207615	-2.58893916186568	0.0127045233135238
olaparib2: WT vs. PARP1KO	-1.60137921766323	0.93792341207615	-1.70736671784158	0.0942154607509762
olaparib1: WT vs. ALC1KO	6.01355854026164	0.93792341207615	6.41156672584841	5.87746113250998e-08
olaparib2: WT vs. ALC1KO	-6.0968909182879	0.937923412076149	-6.50041446858872	4.29444534736103e-08
olaparib1: WT vs. ALC1KOPARP1KO	-2.66556332602432	0.93792341207615	-2.84198399539248	0.00656336780232346
olaparib2: WT vs. ALC1KOPARP1KO	-1.69364153825437	0.937923412076149	-1.8057354326036	0.0772327020345577
