	Estimate	Std. Error	t value	Pr(>|t|)
time1 in WT	29.6756590607464	6.85499412286212	4.32905682030784	0.000153505991796881
time2 in WT	-65.0866203447194	6.85499412286212	-9.49477405496946	1.50886402056024e-10
time3 in WT	19.4165565115685	6.85499412286212	2.83246873207554	0.00817575559288625
time1: WT vs. PARP1KO	46.7167857892228	9.69442565853947	4.81893280063184	3.88303584555638e-05
time2: WT vs. PARP1KO	-14.433756735514	9.69442565853947	-1.48887177476056	0.14695925755316
time3: WT vs. PARP1KO	13.6501146336632	9.69442565853947	1.40803747580852	0.16939889553715
time1: WT vs. ALC1KO	83.7252933115592	9.69442565853947	8.63643667614374	1.23722482535209e-09
time2: WT vs. ALC1KO	-18.1672884805076	9.69442565853947	-1.87399327411466	0.0707005449048931
time3: WT vs. ALC1KO	13.1337168629477	9.69442565853947	1.35476998076505	0.185606172780325
time1: WT vs. ALC1KOPARP1KO	45.7184167456828	9.69442565853947	4.71594897480194	5.18998313003723e-05
time2: WT vs. ALC1KOPARP1KO	-14.2028166203327	9.69442565853947	-1.46504982559972	0.153309807788662
time3: WT vs. ALC1KOPARP1KO	22.0673984412281	9.69442565853947	2.27629765996397	0.030131297363002
