	Estimate	Std. Error	t value	Pr(>|t|)
Etoposide1 in WT siCtrl	-2.05089597314776	0.171839845953747	-11.9349267439392	4.50126643931559e-14
Etoposide2 in WT siCtrl	0.0820224688770314	0.171839845953747	0.477319264468551	0.63602000176005
Etoposide1: siCtrl vs. siPARP1 in WT	-0.499000150085425	0.243018240703892	-2.05334442649281	0.0473592268479594
Etoposide2: siCtrl vs. siPARP1 in WT	0.255326472043212	0.243018240703892	1.0506473559502	0.300422539553981
Etoposide1: WT vs. ALC1KO in siCtrl	-0.509007003921821	0.243018240703892	-2.09452180399094	0.0433145276502511
Etoposide2: WT vs. ALC1KO in siCtrl	0.233685286905743	0.243018240703892	0.961595665530634	0.34266744506608
Etoposide1: siCtrl vs. siPARP1: WT vs. ALC1KO	0.466421781673073	0.343679691907493	1.3571409444775	0.183184852335742
Etoposide2: siCtrl vs. siPARP1: WT vs. ALC1KO	-0.27911107955496	0.343679691907493	-0.81212561034909	0.422057442511954
