	Estimate	Std. Error	t value	Pr(>|t|)
Etoposide1 in ALC1KO siCtrl	-2.55990297706958	0.171839845953747	-14.8970278858293	5.7312935109468e-17
Etoposide2 in ALC1KO siCtrl	0.315707755782774	0.171839845953747	1.83722089618116	0.0744433098244054
Etoposide1: siCtrl vs. siPARP1 in ALC1KO	-0.0325783684123527	0.243018240703892	-0.134057296760897	0.89410392252416
Etoposide2: siCtrl vs. siPARP1 in ALC1KO	-0.0237846075117479	0.243018240703892	-0.0978716965560149	0.922577078532392
Etoposide1: ALC1KO vs. WT in siCtrl	0.509007003921821	0.243018240703892	2.09452180399094	0.0433145276502509
Etoposide2: ALC1KO vs. WT in siCtrl	-0.233685286905743	0.243018240703892	-0.961595665530636	0.342667445066079
Etoposide1: siCtrl vs. siPARP1: ALC1KO vs. WT	-0.466421781673073	0.343679691907493	-1.3571409444775	0.183184852335742
Etoposide2: siCtrl vs. siPARP1: ALC1KO vs. WT	0.279111079554961	0.343679691907493	0.812125610349092	0.422057442511953
