genotype	NT	Olaparib
WT 	85	96.2962963
PARP1 KO	75.96153846	55
ALC1 KO 	62.74509804	15.09433962
ALC1 KO PARP1 KO 	57.14285714	56
WT 	86.79245283	74.50980392
PARP1 KO	82	78.5046729
ALC1 KO 	66.33663366	19.8019802
ALC1 KO PARP1 KO 	52.38095238	70
WT 	81.89655172	73.52941176
PARP1 KO	53.44827586	59.09090909
ALC1 KO 	45.71428571	16
ALC1 KO PARP1 KO 	58.41584158	69.81132075
