genotype	NT	Olaparib
WT 	60.31746032	61.81818182
PARP1 KO	44	60.78431373
ALC1 KO 	48	7.547169811
ALC1 KO PARP1 KO 	48	41.17647059
WT 	62.5	67.54385965
PARP1 KO	44.11764706	52.88461538
ALC1 KO 	39.62264151	8.035714286
ALC1 KO PARP1 KO 	39	51.30434783
WT 	65	66.66666667
PARP1 KO	44.95412844	46.42857143
ALC1 KO 	41.81818182	5.714285714
ALC1 KO PARP1 KO 	44.95412844	46.42857143
