genotype	NT	Olaparib
WT 	59.80392157	61.32075472
PARP1 KO	30.47619048	30.18867925
ALC1 KO 	29.46428571	8
ALC1 KO PARP1 KO 	32	27.18446602
WT 	68.31683168	41.17647059
PARP1 KO	34.61538462	38.0952381
ALC1 KO 	34.95145631	5.042016807
ALC1 KO PARP1 KO 	22.22222222	33
WT 	64.70588235	50
PARP1 KO	34.54545455	35.45454545
ALC1 KO 	35.65217391	10.43478261
ALC1 KO PARP1 KO 	37.93103448	32.72727273
