WT_noXray_noOP	KO_noXray_noOP	WT_Xray_noOP	KO_Xray_noOP	WT_Xray_OP	KO_Xray_OP
17.35905045	12.31454006	18.39762611	21.36498516	18.10089021	65.87537092
29.08011869	16.32047478	20.91988131	24.18397626	24.18397626	40.65281899
20.91988131	12.46290801	19.73293769	21.21661721	23.29376855	60.83086053
19.28783383	14.83679525	18.39762611	27.74480712	24.77744807	83.08605341
26.2611276	15.87537092	18.39762611	26.70623145	23.7388724	85.75667656
23.29376855	13.50148368	20.47477745	24.18397626	27.44807122	82.1958457
21.81008902	11.8694362	20.77151335	27.74480712	34.12462908	86.94362018
22.70029674	15.87537092	13.94658754	27.74480712	26.70623145	111.8694362
18.84272997	19.73293769	13.94658754	27.74480712	27.29970326	73.7388724
23.88724036	9.940652819	16.91394659	25.22255193	20.77151335	91.69139466
22.25519288	13.79821958	16.91394659	29.22848665	23.29376855	64.39169139
24.77744807	13.35311573	16.76557864	24.33234421	25.66765579	136.6468843
19.88130564	14.39169139	15.87537092	22.84866469	27.29970326	64.54005935
18.84272997	12.90801187	21.06824926	22.70029674	21.81008902	70.02967359
21.21661721	12.90801187	18.24925816	25.37091988	22.70029674	65.72700297
22.70029674	9.940652819	18.10089021	26.2611276	18.24925816	63.20474777
20.3264095	12.90801187	19.28783383	26.70623145	19.73293769	77.89317507
19.58456973	12.31454006	21.81008902	20.77151335	18.84272997	89.46587537
22.25519288	14.39169139	15.87537092	24.77744807	27.89317507	116.4688427
18.39762611	14.39169139	15.87537092	33.23442136	21.95845697	130.7121662
23.4421365	12.31454006	11.8694362	32.78931751	24.77744807	111.4243323
17.8041543	11.42433234	17.8041543	26.2611276	27.15133531	71.36498516
16.32047478	13.35311573	16.76557864	24.18397626	21.81008902	72.55192878
21.36498516	12.01780415	20.6231454	24.33234421	23.7388724	81.60237389
20.3264095	13.35311573	24.03560831	24.77744807	23.7388724	73.59050445
26.11275964	14.54005935	15.43026706	28.78338279	27.74480712	55.19287834
21.06824926	13.94658754	17.35905045	24.18397626	23.29376855	72.40356083
15.87537092	12.31454006	17.35905045	22.55192878	25.81602374	48.96142433
17.35905045	15.87537092	22.25519288	27.29970326	26.70623145	50
15.87537092	13.35311573	18.24925816	21.95845697	24.18397626	51.03857567
29.22848665	15.87537092	21.81008902	26.70623145	25.22255193	77.29970326
22.10682493	16.32047478	17.35905045	22.40356083	21.21661721	82.64094955
17.5074184	13.35311573	15.43026706	28.63501484	28.18991098	72.25519288
21.21661721	14.83679525	18.99109792	23.7388724	25.22255193	43.02670623
21.66172107	14.83679525	18.39762611	26.2611276	21.81008902	40.80118694
18.24925816	12.90801187	19.73293769	25.22255193	21.36498516	50.89020772
27.89317507	16.02373887	25.37091988	27.29970326	21.06824926	49.55489614
18.84272997	16.91394659	15.87537092	23.29376855	23.7388724	44.51038576
17.06231454	20.77151335	13.50148368	23.88724036	21.21661721	35.90504451
19.28783383	14.39169139	15.43026706	27.29970326	21.81008902	45.84569733
19.28783383	13.94658754	20.3264095	27.29970326	18.84272997	49.70326409
19.73293769	15.43026706	20.91988131	23.7388724	23.29376855	43.17507418
22.25519288	15.28189911	16.91394659	28.63501484	23.29376855	37.53709199
25.81602374	11.5727003	20.91988131	28.18991098	21.21661721	42.87833828
23.7388724	11.72106825	17.8041543	25.51928783	23.7388724	38.27893175
22.55192878	12.90801187	20.77151335	27.29970326	26.85459941	40.9495549
16.46884273	16.32047478	19.43620178	29.22848665	23.7388724	45.84569733
19.13946588	13.05637982	17.35905045	23.4421365	19.88130564	42.28486647
19.58456973	16.76557864	19.28783383	27.74480712	20.77151335	37.53709199
30.11869436	13.94658754	15.28189911	33.08605341	19.73293769	53.41246291
20.47477745	14.39169139	12.90801187	22.70029674	19.28783383	48.66468843
21.95845697	13.79821958	15.43026706	27.15133531	23.29376855	44.51038576
20.91988131	13.79821958	14.83679525	20.3264095	20.77151335	40.35608309
25.81602374	12.90801187	18.24925816	22.40356083	26.2611276	45.10385757
27.89317507	14.09495549	20.6231454	26.2611276	20.3264095	41.69139466
30.71216617	11.8694362	14.54005935	27.74480712	21.81008902	45.54896142
17.35905045	14.39169139	21.95845697	23.29376855	21.36498516	41.39465875
20.6231454	13.94658754	20.3264095	28.33827893	19.73293769	44.0652819
21.36498516	14.39169139	11.8694362	18.24925816	20.91988131	47.03264095
14.54005935	12.90801187	21.21661721	21.21661721	24.33234421	44.21364985
22.99703264	14.39169139	17.8041543	24.77744807	23.88724036	46.29080119
19.43620178	15.43026706	18.84272997	21.81008902	20.02967359	43.76854599
15.43026706	10.97922849	13.94658754	29.08011869	25.22255193	52.52225519
19.73293769	11.5727003	18.24925816	21.36498516	22.40356083	54.00593472
19.88130564	15.57863501	20.77151335	25.66765579	29.22848665	58.30860534
28.48664688	16.61721068	17.8041543	23.29376855	21.21661721	43.32344214
21.81008902	15.43026706	20.02967359	20.91988131	29.82195846	49.40652819
25.66765579	11.42433234	16.91394659	22.99703264	24.18397626	67.21068249
22.70029674	13.35311573	14.39169139	27.74480712	17.35905045	41.98813056
23.14540059	14.83679525	26.2611276	21.81008902	22.25519288	56.08308605
18.39762611	17.95252226	13.94658754	29.22848665	19.73293769	63.64985163
21.21661721	13.79821958	21.21661721	23.88724036	21.36498516	54.74777448
24.18397626	12.46290801	16.91394659	28.18991098	18.84272997	51.78041543
22.25519288	9.940652819	19.88130564	22.25519288	21.81008902	55.19287834
18.39762611	12.46290801	17.35905045	27.74480712	27.29970326	45.54896142
31.75074184	14.09495549	16.91394659	20.3264095	21.36498516	62.01780415
19.58456973	12.90801187	19.73293769	22.25519288	27.00296736	63.50148368
17.06231454	9.940652819	17.8041543	18.39762611	23.29376855	58.7537092
27.44807122	10.97922849	18.24925816	23.29376855	22.84866469	56.82492582
21.36498516	12.90801187	19.58456973	21.36498516	21.95845697	46.73590504
19.28783383	11.8694362	11.72106825	25.66765579	22.25519288	52.22551929
29.3768546	11.12759644	21.36498516	21.81008902	32.34421365	49.10979228
20.77151335	14.83679525	17.06231454	16.76557864	24.77744807	50.14836795
18.99109792	13.79821958	22.70029674	23.7388724	24.48071217	49.40652819
22.55192878	14.39169139	19.88130564	20.91988131	16.32047478	58.90207715
13.64985163	11.42433234	18.54599407	19.73293769	21.81008902	57.86350148
16.02373887	12.61127596	20.3264095	26.2611276	28.18991098	47.62611276
25.22255193	11.42433234	18.39762611	23.7388724	25.22255193	59.0504451
23.29376855	11.5727003	17.8041543	21.06824926	25.37091988	70.47477745
18.24925816	11.42433234	25.22255193	22.25519288	22.10682493	58.60534125
18.84272997	14.83679525	17.35905045	23.29376855	26.5578635	64.9851632
25.81602374	17.35905045	15.87537092	20.77151335	23.7388724	58.16023739
21.36498516	12.61127596	12.90801187	23.29376855	28.63501484	58.60534125
21.36498516	13.35311573	18.24925816	20.02967359	24.03560831	63.94658754
24.03560831	13.64985163	14.39169139	19.73293769	23.4421365	66.17210682
20.77151335	13.64985163	20.3264095	23.14540059	22.84866469	51.03857567
22.40356083	12.90801187	20.3264095	24.33234421	24.33234421	45.69732938
